Login ID,Repo Count,Follower Count,Member Since
canvaspixels,37.0,29.0,20120119.0
Voidious,4.0,17.0,20120725.0
jake100,57.0,1817.0,20131028.0
rob4lderman,36.0,7.0,20131202.0
algebric,4.0,2284.0,20140305.0
vkandola,153.0,1608.0,20140421.0
AdiChat,20.0,3216.0,20150121.0
ArefMq,28.0,2831.0,20150207.0
franklsm1,37.0,6.0,20150915.0
AlexxNica,6666.0,782.0,20150917.0
jessuppi,13.0,425.0,20160229.0
ilmalte,26.0,56.0,20160305.0
una-tapa,28.0,2.0,20160723.0
imArafatHussein,1.0,4123.0,20160825.0
VinayMavani,2.0,17.0,20171009.0
iamfredrickokereke,250.0,62.0,20180412.0
kj2houli,15.0,26.0,20150102.0
curv3ball,7.0,74.0,20180510.0
codingscode,171.0,1306.0,20190505.0
pshc,55.0,33.0,20080411.0
mikeyb,26.0,123.0,20081124.0
slpsys,29.0,21.0,20090310.0
etykdueicnshp,55.0,36.0,20090910.0
j15e,62.0,80.0,20091022.0
deliabdrsov,51.0,69.0,20091208.0
KokaKiwi,203.0,151.0,20100115.0
cburgdorf,133.0,413.0,20101213.0
erynofwales,28.0,52.0,20110330.0
poguez,79.0,122.0,20110415.0
iorch,38.0,47.0,20110711.0
mogox,28.0,42.0,20110719.0
lcampos,17.0,36.0,20110911.0
rjaydov,203.0,178.0,20111001.0
victor-vargas2009,12.0,7.0,20111024.0
NatashaTheRobot,123.0,1583.0,20111028.0
helloworld-cat,33.0,38.0,20120122.0
hm1lry9,10.0,585.0,20120132.0
pcgphiasrpx,156.0,34.0,20120419.0
SeanReid,37.0,3.0,20120822.0
haozeng,18.0,21.0,20120928.0
215eight,9.0,3.0,20130219.0
jescriba,38.0,21.0,20130322.0
ontnajacorhi,29.0,24.0,20130517.0
sai43,202.0,18.0,20130531.0
ariusay,54.0,962.0,20130723.0
cnd,15.0,0.0,20121026.0
Rady,43.0,18.0,20090826.0
m1kal,24.0,0.0,20161126.0
Lizandro12,,,
Shangrong1106,,,
daniman,,,
esin,,,
ilyakatz,,,
codeswift27,,,
chambliss,,,
tanvirraj,,,
zishon89us,,,
KdrDrn,,,
yuhao-git-star,,,
rileyca,,,
0mlml,,,
